id,sdid,gpstime,sd750,multiEye,sd1500,sd_gpsnanotime,sd_theta,sd_phi,sd_energy,sd_l,sd_b,sd_ra,sd_dec,sd_x,sd_dx,sd_y,sd_dy,sd_z,sd_easting,sd_northing,sd_altitude,sd_s450,sd_ds450,sd_s35,sd_beta,sd_gamma,sd_chi2,sd_ndf,sd_geochi2,sd_nbstat,fd_id,fd_gpsnanotime,fd_hdSpectrumEye,fd_hdCalibEye,fd_hdXmaxEye,fd_theta,fd_dtheta,fd_phi,fd_dphi,fd_l,fd_b,fd_ra,fd_dec,fd_totalEnergy,fd_dtotalEnergy,fd_calEnergy,fd_dcalEnergy,fd_xmax,fd_dxmax,fd_heightXmax,fd_distXmax,fd_dEdXmax,fd_ddEdXmax,fd_x,fd_dx,fd_y,fd_dy,fd_z,fd_easting,fd_northing,fd_altitude,fd_cherenkovFraction,fd_minViewAngle,fd_uspL,fd_duspL,fd_uspR,fd_duspR,fd_hottestStationId,fd_distSdpStation,fd_distAxisStation,sd_s38,sd_gpstime,sd_exposure
140010032800,24902920,1072613143,1,0,0,650217435,28.51,0.42,0.198,-11.56,13.12,246.41,-30.26,-28939.4,30.18,14473.7,17.37,100.99,448297.75,6113595,1500.99,17.72,1.82,14.89,-3.02,-0.3,9.81,8,4.31,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072613143,0.0035
140011337400,24905430,1072626189,1,0,0,743559685,18.07,318.3,0.106,-8.57,-21.61,286.7,-45.74,-27780.3,34.2,15113.3,20.21,102.91,449454.57,6114237.16,1502.91,11.09,1.39,7.97,-3.07,-0.31,6.26,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072626189,0.0046
140011419000,24905590,1072627005,1,0,0,481967424,33.61,330.65,0.114,-3.93,-39.95,313.4,-44.59,-24523,60.71,14419.4,38.19,85.23,452711.62,6113551.85,1485.23,9.27,1.26,8.6,-2.87,-0.32,5.52,2,1.01,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072627005,0.0047
140011783900,24906260,1072630654,1,0,0,395818524,20.75,8.62,0.16,14.32,-35.23,309.87,-29.68,-23861.5,43.05,15697.4,22.45,83.81,453369.55,6114830.81,1483.81,16.26,1.8,12.04,-3.09,-0.29,3.21,5,0.88,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072630654,0.005
140011875400,24906430,1072631569,1,0,0,981706229,2.79,241.9,0.136,0.1,-20.1,288.19,-37.58,-27402,50.56,13350.1,15.16,96.17,449836.88,6112476.11,1496.17,15.18,2.56,10.22,-3.17,-0.3,6.03,5,4.18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072631569,0.0051
140012211900,24907090,1072634934,1,0,0,178408062,36.23,55.62,0.143,50.42,-37.52,323.57,-3.76,-25685.3,17.23,16070.1,61.76,93.43,451545.9,6115198.54,1493.43,10.73,1.89,10.71,-2.92,-0.31,5.21,5,10.55,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072634934,0.0054
140012422900,24907520,1072637044,1,0,0,219919503,32.8,199.68,0.105,-6.78,-8.75,271.52,-39.15,-29515.9,53.85,14518.1,26.99,101,447721.56,6113638.1,1501,8.78,1.29,7.93,-2.87,-0.32,3.21,2,3.65,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072637044,0.0056
140012469900,24907620,1072637514,1,0,0,279930202,30.77,317.58,0.104,-28.71,-61.12,351.47,-51.04,-28907.9,25.45,14221.1,27.7,100.84,448329.9,6113342.67,1500.84,9.09,1.45,7.82,-2.92,-0.32,3.68,3,0.01,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072637514,0.0056
140012477900,24907630,1072637594,1,0,0,107532539,36.48,221.93,0.112,-19.02,-13.21,269.17,-51.87,-24458.3,42.1,13726.8,29.83,83.96,452778.41,6112859.62,1483.96,8.38,1.32,8.43,-2.79,-0.34,5.13,3,0.04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072637594,0.0056
140012501900,24907680,1072637834,1,0,0,320645015,28.51,355.4,0.136,11.94,-69.81,350.38,-32.55,-28027,51.88,14446.3,27.09,101.32,449209.7,6113570.06,1501.32,12.39,1.48,10.19,-2.89,-0.35,87.96,3,1.19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072637834,0.0056
