id,sdid,gpstime,sd1500,multiEye,sd_gpsnanotime,sd_theta,sd_dtheta,sd_phi,sd_dphi,sd_energy,sd_denergy,sd_l,sd_b,sd_ra,sd_dec,sd_x,sd_dx,sd_y,sd_dy,sd_z,sd_easting,sd_northing,sd_altitude,sd_R,sd_dR,sd_s1000,sd_ds1000,sd_s38,sd_gcorr,sd_wcorr,sd_beta,sd_gamma,sd_chi2,sd_ndf,sd_geochi2,sd_geondf,sd_nbstat,fd_id,fd_gpsnanotime,fd_hdSpectrumEye,fd_hdCalibEye,fd_hdXmaxEye,fd_theta,fd_dtheta,fd_phi,fd_dphi,fd_l,fd_b,fd_ra,fd_dec,fd_totalEnergy,fd_dtotalEnergy,fd_calEnergy,fd_dcalEnergy,fd_xmax,fd_dxmax,fd_heightXmax,fd_distXmax,fd_dEdXmax,fd_ddEdXmax,fd_x,fd_dx,fd_y,fd_dy,fd_z,fd_easting,fd_northing,fd_altitude,fd_cherenkovFraction,fd_minViewAngle,fd_uspL,fd_duspL,fd_uspR,fd_duspR,fd_hottestStationId,fd_distSdpStation,fd_distAxisStation,sd_exposure
40034054600,622240,757206958,1,0,226346000,18.89,0.96,33.54,1.01,4.179,0.265,210.91,-65.55,39.72,-23.71,-5314.94,45.86,-15741.83,29.32,-32.01,471984.66,6083458.09,1389.69,8279.74,0,24.11,1.48,20.5,0.998,0.952,-2.35,0.02,0.5,1,1.18,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2157
40184443900,634230,758506851,1,0,972896000,49.25,0.21,85.9,0.31,13.081,0.706,174.65,-30.84,56.82,13.87,-5460.03,14.49,-3481.98,35.48,-1.67,471808.76,6095710.09,1401.62,12997.54,1186.9,48,2.51,62,1,0.978,-2.02,0.09,4.39,5,4.84,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6125
40202296800,635890,758658180,1,0,638367000,12.44,0.97,106.58,3.55,4.514,0.434,25.88,-44.21,322.08,-23.35,-3043.64,25.43,-9752.83,44.71,-15.51,474239.46,6089449.17,1392.7,6815.64,1644.79,25.95,2.42,22.09,0.998,0.941,-2.39,0.02,0.49,2,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7782
40224091700,638260,758848929,1,0,238387000,54.83,0.27,335.25,0.31,4.59,0.45,250.82,-9.16,112.68,-37.75,-7745.46,80.88,-5725.59,42.01,-3.33,469530.37,6093462.1,1403.94,17564.25,1830.24,14.51,1.38,22.45,0.981,0.994,-1.78,0.06,9.14,6,20.92,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0469
40300846100,646220,759507673,1,0,902280000,38.05,0.38,320.2,0.77,3.763,0.448,346.11,-46.33,324.09,-51.08,-963.9,42.28,-20554.7,41.67,-51.92,476345.2,6078659.13,1381.37,12649.43,1619.31,19.19,2.22,18.52,0.992,0.972,-2.15,0,0.81,2,0.75,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8571
40342062100,650050,759865433,1,0,68323000,58.41,0.35,73.92,0.33,4.549,0.452,90.56,-34.3,344.51,21.34,-10151.65,49.82,-14249.14,62.38,-27.69,467147.14,6084937.66,1396.34,13199.22,2129.17,12.07,1.16,22.26,0.999,0.993,-1.65,-0.02,1.27,5,7.56,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4112
40353663900,651210,759967851,1,0,785292000,39.01,0.41,31.28,0.61,4.704,0.413,207.89,-33.08,70.97,-10.56,-5373.92,17.42,-14014.29,44.33,-26.47,471921.36,6085184.43,1391.24,11075.82,0,22.55,1.92,22.99,0.996,1.007,-2.15,0,1.46,1,4.29,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5795
40406048600,656590,760423698,1,0,44676000,53.04,0.27,242.8,0.26,6.114,0.444,280.79,-39,64.51,-68.06,-6154.89,43.69,-14723.31,62.6,-28.77,471142.66,6084473.87,1391.25,21559.38,3658.76,20.3,1.43,29.65,0.984,0.99,-1.86,0.09,6.5,5,10.55,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2932
40431561500,658340,760638027,1,0,75580000,50.37,0.5,82.43,0.55,2.511,0.293,68.06,-26.65,323.79,14.66,-12293.5,40.38,-15284.58,77.31,-32.07,465009.2,6083897.44,1398.13,7781.72,645.6,9.63,1.09,12.51,1,0.983,-1.86,0.12,2.24,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5058
40447953600,659890,760788348,1,0,33775000,47.92,0.54,159.87,0.92,2.794,0.379,284.03,50.71,180.82,-10.39,-1573.15,27.08,-20231.75,72.93,-50.76,475735.5,6078980.35,1381.62,7295.64,723.92,11.48,1.51,13.88,0.991,0.992,-1.93,0.1,0.67,2,9.88,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7096
